bookingID,customerID,hotelID,roomNumber,bookingDate
1,3,1,5,5/12/2015
2,24,2,7,7/26/2016
3,75,3,1,1/30/2002
4,62,4,5,9/8/2014
5,1,5,4,9/1/2016
6,48,6,8,4/1/2011
7,55,7,7,5/17/2002
8,79,8,5,9/19/2011
9,20,9,2,11/11/2015
10,52,10,4,11/23/2010
11,23,11,4,4/8/2006
12,12,12,2,11/27/2010
13,9,13,5,5/25/2002
14,31,14,6,7/26/2015
15,67,15,7,3/17/2013
16,12,16,2,8/6/2013
17,49,17,3,1/10/2011
18,20,18,6,10/13/2010
19,78,19,5,10/11/2000
20,32,20,5,8/29/2010
21,41,1,3,3/27/2006
22,44,2,3,6/9/2015
23,69,3,7,4/14/2000
24,53,4,1,5/24/2017
25,82,5,5,1/23/2005
26,65,6,1,9/1/2015
27,55,7,7,2/25/2002
28,32,8,9,4/20/2018
29,38,9,8,6/25/2007
30,37,10,6,6/25/2016
31,20,11,1,8/9/2013
32,95,12,3,6/27/2012
33,37,13,9,12/25/2014
34,13,14,8,7/3/2010
35,90,15,8,3/14/2015
36,100,16,2,1/19/2017
37,61,17,3,9/2/2001
38,33,18,3,4/1/2018
39,68,19,7,9/13/2015
40,27,20,4,5/15/2018
41,71,1,1,1/20/2005
42,31,2,8,5/25/2011
43,59,3,2,11/8/2009
44,56,4,8,11/8/2015
45,93,5,4,11/11/2018
46,93,6,7,11/29/2010
47,97,7,4,2/25/2002
48,32,8,1,5/25/2015
49,60,9,3,1/1/2011
50,62,10,8,10/4/2016
51,5,11,7,9/29/2002
52,75,12,8,11/22/2012
53,51,13,9,4/7/2006
54,9,14,5,8/23/2013
55,99,15,1,7/2/2003
56,62,16,8,4/9/2010
57,42,17,2,8/12/2000
58,37,18,6,5/8/2014
59,91,19,4,6/10/2001
60,63,20,3,11/14/2015
61,69,1,2,12/10/2010
62,42,2,4,7/2/2010
63,17,3,3,11/9/2009
64,54,4,9,9/18/2011
65,6,5,6,11/18/2005
66,24,6,5,11/23/2011
67,84,7,9,7/9/2016
68,99,8,5,4/15/2017
69,18,9,8,12/2/2015
70,55,10,4,2/12/2016
71,88,11,8,11/18/2014
72,45,12,3,10/28/2018
73,25,13,4,7/15/2003
74,81,14,6,12/22/2017
75,54,15,1,3/17/2018
76,79,16,3,10/24/2017
77,35,17,9,5/12/2017
78,67,18,6,3/6/2017
79,17,19,6,5/4/2000
80,37,20,1,8/8/2011
81,47,1,4,4/3/2000
82,22,2,9,10/22/2017
83,8,3,5,8/4/2011
84,48,4,7,3/2/2010
85,46,5,6,11/8/2003
86,78,6,8,12/6/2017
87,2,7,6,3/29/2003
88,78,8,8,11/17/2010
89,20,9,8,2/7/2001
90,80,10,9,9/10/2015
91,63,11,8,8/3/2001
92,83,12,7,1/19/2013
93,20,13,3,1/19/2018
94,69,14,7,12/4/2017
95,4,15,9,6/15/2016
96,30,16,5,1/1/2014
97,90,17,7,8/4/2016
98,55,18,4,1/4/2017
99,44,19,2,3/19/2016
100,86,20,8,8/29/2010
101,49,1,6,5/9/2009
102,61,2,8,12/26/2010
103,82,3,6,5/12/2014
104,72,4,1,11/28/2018
105,85,5,3,7/5/2013
106,18,6,4,9/13/2013
107,45,7,9,4/22/2018
108,48,8,1,11/5/2013
109,7,9,5,2/18/2006
110,12,10,8,1/9/2014
111,27,11,5,12/22/2011
112,62,12,5,10/6/2012
113,81,13,7,1/7/2001
114,33,14,6,1/7/2018
115,67,15,3,2/9/2013
116,45,16,2,6/20/2010
117,67,17,4,12/21/2001
118,63,18,2,5/26/2011
119,9,19,8,1/2/2018
120,6,20,9,9/13/2012
121,25,1,7,3/8/2002
122,67,2,2,5/6/2014
123,84,3,4,3/19/2008
124,6,4,2,8/24/2015
125,71,5,4,2/3/2005
126,79,6,1,4/17/2010
127,33,7,5,6/4/2013
128,74,8,4,10/4/2015
129,2,9,7,10/6/2005
130,82,10,5,12/10/2015
131,74,11,6,2/4/2015
132,32,12,2,4/6/2017
133,94,13,3,3/7/2008
134,8,14,2,12/25/2013
135,64,15,4,2/9/2018
136,16,16,3,11/5/2012
137,2,17,7,2/6/2004
138,53,18,2,6/1/2014
139,66,19,5,6/21/2006
140,66,20,1,6/26/2015
141,45,1,9,10/22/2002
142,4,2,2,5/11/2016
143,28,3,6,11/16/2006
144,38,4,1,1/9/2014
145,100,5,7,5/26/2002
146,12,6,9,12/14/2012
147,17,7,3,12/28/2015
148,62,8,5,9/21/2014
149,50,9,8,10/14/2000
150,94,10,8,12/10/2010
151,93,11,8,4/17/2013
152,40,12,5,11/12/2016
153,34,13,8,12/22/2015
154,95,14,7,8/8/2016
155,76,15,6,1/29/2002
156,72,16,7,12/24/2013
157,36,17,6,3/10/2007
158,42,18,6,11/6/2017
159,30,19,3,2/5/2018
160,38,20,6,8/28/2011
161,75,1,8,6/1/2006
162,84,2,6,8/20/2014
163,20,3,7,11/9/2003
164,78,4,1,2/14/2018
165,50,5,4,1/20/2009
166,86,6,7,12/20/2013
167,68,7,3,2/18/2017
168,89,8,2,5/6/2011
169,36,9,3,9/28/2001
170,64,10,3,1/13/2014
171,23,11,2,9/16/2011
172,10,12,2,11/22/2017
173,86,13,8,5/10/2008
174,74,14,7,3/22/2018
175,6,15,5,9/30/2001
176,76,16,5,12/12/2015
